Date,Open,High,Low,Close,TVSMOTOR,Volume
02-12-2022,1050,1053.900024,1031,1048.400024,1043.252441,1040471
05-12-2022,1050,1053.5,1010.450012,1017.799988,1012.802673,2896073
06-12-2022,1017,1046.400024,1008.099976,1040.949951,1035.838989,1970222
07-12-2022,1041,1047.150024,1019.25,1025.25,1020.216064,1319008
08-12-2022,1030.400024,1036.449951,1021.400024,1025.949951,1020.912598,988773
09-12-2022,1034.550049,1041.25,1023,1036.150024,1031.062622,1253296
12-12-2022,1035,1045.699951,1031.800049,1037.800049,1032.704468,903199
13-12-2022,1043.199951,1047.75,1032,1036.800049,1031.709473,1040540
14-12-2022,1046,1048.75,1027.050049,1028.75,1023.698914,747736
15-12-2022,1028,1052.400024,1024.900024,1039.050049,1033.948364,1711006
16-12-2022,1032,1051.599976,1023.450012,1039.849976,1034.744385,1308612
19-12-2022,1040,1059.400024,1033.900024,1056.099976,1050.914551,1806966
20-12-2022,1054.300049,1071.849976,1046.5,1056,1050.815063,1747561
21-12-2022,1052.050049,1063.400024,1029.199951,1033.349976,1028.276245,1417265
22-12-2022,1033.300049,1046.400024,1021.400024,1039.099976,1033.998047,1373045
23-12-2022,1027,1033.599976,1006,1010.5,1005.538513,931666
26-12-2022,1005.5,1023.150024,997.900024,1015.549988,1010.563721,1043410
27-12-2022,1020.650024,1049,1018.150024,1044.050049,1038.923828,1356572
28-12-2022,1044.949951,1085.400024,1040.300049,1082.699951,1077.383911,2613737
29-12-2022,1077.900024,1135.5,1071.699951,1101,1095.594116,2629509
30-12-2022,1103,1105.449951,1082.050049,1085.400024,1080.070801,1035831
02-01-2023,1085,1092.800049,1060,1073.050049,1067.781494,913740
03-01-2023,1075,1077.800049,1034.699951,1041.550049,1036.436157,2199825
04-01-2023,1046.800049,1050.5,1018,1025.050049,1020.017151,1391583
05-01-2023,1029.949951,1031.949951,1014,1030.199951,1025.141724,987083
06-01-2023,1032,1038.949951,1018.549988,1024.5,1019.469788,873454
09-01-2023,1029.599976,1035.849976,1017.549988,1021.099976,1016.086426,1045256
10-01-2023,1026.25,1030.650024,1010,1016.299988,1011.309998,1107876
11-01-2023,1022,1026.900024,1011,1014.650024,1009.668152,1194680
12-01-2023,1019.75,1021.200012,1001.299988,1005.549988,1000.612793,834703
13-01-2023,1010.849976,1010.849976,988.5,1002.150024,997.229553,1944766
16-01-2023,1002.150024,1009.400024,979.299988,988.700012,983.845581,1237660
17-01-2023,989.049988,1009,977.549988,986.650024,981.805664,3049007
18-01-2023,991,1007.950012,990.799988,1002.049988,997.130005,2202723
19-01-2023,994.150024,1020.75,994.150024,1014.049988,1009.071045,1285537
20-01-2023,1005,1014.299988,967.549988,969.900024,965.137878,1697151
23-01-2023,968.549988,985,968.549988,981.700012,976.879944,948214
24-01-2023,984,992.900024,970.900024,983.849976,979.019348,1062016
