Date,Open,High,Low,Close,LT,Volume
09-12-2022,2168,2194.350098,2137.5,2154.050049,2129.966553,2573609
12-12-2022,2148.899902,2169,2134.550049,2163.699951,2139.508545,1536090
13-12-2022,2170,2175.699951,2152.5,2172.899902,2148.605713,1233124
14-12-2022,2176.949951,2210,2175.050049,2195.449951,2170.903564,1516631
15-12-2022,2196.699951,2209,2173.600098,2177.550049,2153.203613,1323412
16-12-2022,2161,2211.600098,2161,2175,2150.682129,2822390
19-12-2022,2171,2187.449951,2155.050049,2184,2159.581543,1592779
20-12-2022,2179.899902,2179.899902,2138,2163.25,2139.063721,1747181
21-12-2022,2153.100098,2174.949951,2142.850098,2146.300049,2122.303223,1979681
22-12-2022,2144,2148.350098,2096.899902,2109.949951,2086.359619,1993744
23-12-2022,2094.5,2104.149902,2050.100098,2062.75,2039.687134,2026125
26-12-2022,2052.75,2108,2051,2091.050049,2067.670898,1154610
27-12-2022,2101.550049,2128,2085,2124.100098,2100.351318,1059351
28-12-2022,2129,2136,2113.649902,2121.100098,2097.38501,1153883
29-12-2022,2109.649902,2120.550049,2094.149902,2110.899902,2087.298828,1517150
30-12-2022,2115,2133,2081.100098,2085.800049,2062.479492,1189427
02-01-2023,2092.899902,2097.600098,2075.050049,2089.449951,2066.088623,807344
03-01-2023,2088,2096.800049,2067.949951,2088.949951,2065.594238,1260225
04-01-2023,2090.949951,2101.449951,2058,2070.550049,2047.400024,1015547
05-01-2023,2080,2099.199951,2068.5,2087.350098,2064.012207,1881403
06-01-2023,2090.199951,2121.699951,2071.850098,2086.550049,2063.221191,1877917
09-01-2023,2108,2127.300049,2100.75,2121.699951,2097.978027,1844365
10-01-2023,2131.899902,2131.899902,2097.199951,2106.649902,2083.096436,1425414
11-01-2023,2106.100098,2140,2097.100098,2125.350098,2101.587402,1455621
12-01-2023,2118.100098,2164.649902,2118.100098,2159.75,2135.602783,2726901
13-01-2023,2161.899902,2164.850098,2117.199951,2153.399902,2129.32373,2180210
16-01-2023,2147,2161,2132.300049,2137.199951,2113.304932,1009649
17-01-2023,2139.899902,2217.800049,2136.399902,2213.100098,2188.356201,4645453
18-01-2023,2221,2274.800049,2200,2266.5,2241.15918,4090049
19-01-2023,2259.850098,2283.800049,2241,2273.100098,2247.685303,2176835
20-01-2023,2282.449951,2297.649902,2238.449951,2249.949951,2224.794189,1962410
23-01-2023,2255,2273.300049,2227,2233.5,2208.528076,1466706
24-01-2023,2244.699951,2252.300049,2200,2207.5,2182.818848,1036962
25-01-2023,2201,2205,2155,2174.699951,2150.385498,2134447
27-01-2023,2174.699951,2195,2127.100098,2159.850098,2135.70166,1647900
30-01-2023,2129.399902,2173.25,2083.800049,2112.899902,2089.276611,3441304
31-01-2023,2119.949951,2132.75,2072.649902,2124.399902,2100.647949,4516463
01-02-2023,2133,2215.949951,2080.300049,2145.550049,2121.561523,6868872
02-02-2023,2135.600098,2166.949951,2107.850098,2144.899902,2120.918457,3488506
03-02-2023,2176.949951,2181.850098,2131.050049,2166.550049,2142.326904,2045634
06-02-2023,2164.25,2181.600098,2142.300049,2156.100098,2131.993652,1332484
07-02-2023,2162.25,2172,2150.050049,2165.300049,2141.09082,1089248
08-02-2023,2160.550049,2175.25,2125.550049,2130.850098,2107.026123,1452145
09-02-2023,2150,2151.949951,2135.699951,2147.399902,2123.390869,1563181
10-02-2023,2140.199951,2169.949951,2137.550049,2163.850098,2139.656982,1454665
13-02-2023,2173,2210.399902,2160.199951,2203.300049,2178.665771,2978938
14-02-2023,2215,2216,2182.149902,2191.649902,2167.145752,1874906
15-02-2023,2186,2187.850098,2157.25,2175.050049,2150.731689,1946344
16-02-2023,2186.800049,2202.300049,2171.699951,2178.300049,2153.945313,2464602
17-02-2023,2169.800049,2249,2160,2226.350098,2201.458008,3753179
20-02-2023,2233.699951,2252,2215,2225.5,2200.617432,1779752
21-02-2023,2239,2262,2222.699951,2229.449951,2204.523438,1882604
22-02-2023,2229,2241,2182.050049,2194.75,2170.211426,2103097
23-02-2023,2204,2208.199951,2153.5,2159.149902,2135.009277,2000556
24-02-2023,2160,2172.300049,2118.75,2134.050049,2110.189941,1479060
27-02-2023,2134.050049,2139.899902,2082.100098,2113.699951,2090.067383,1398112
28-02-2023,2115,2138.300049,2085,2109.149902,2085.568359,2108587
01-03-2023,2100,2130,2100,2115.300049,2091.649902,1389077
02-03-2023,2129.949951,2149,2107.550049,2121.600098,2097.879395,1727640
03-03-2023,2140,2159.899902,2132.25,2152.050049,2127.98877,1821066
06-03-2023,2158.25,2184.850098,2139.800049,2141.149902,2117.210693,1821012
08-03-2023,2152,2189.600098,2140.600098,2170.800049,2146.529297,2965342
09-03-2023,2174.949951,2199,2171.5,2193.199951,2168.678711,1873933
10-03-2023,2171.5,2182,2133,2157.850098,2133.724121,1900535
13-03-2023,2164.050049,2178.949951,2107,2133.850098,2109.992432,2334468
14-03-2023,2144.350098,2171,2134.399902,2144.199951,2120.226563,2871343
15-03-2023,2164.199951,2212.449951,2160,2176.649902,2152.313477,3044201
16-03-2023,2184.899902,2187,2132,2173.600098,2149.297852,2946792
17-03-2023,2186.699951,2228.899902,2186.699951,2195.75,2171.200195,3286473
20-03-2023,2191.100098,2205,2152,2177.550049,2153.203613,1996773
21-03-2023,2182.699951,2227,2182,2208.449951,2183.758301,3178680
22-03-2023,2219.5,2246.25,2207.899902,2213.949951,2189.196777,1956033
23-03-2023,2214,2242,2200.550049,2206.649902,2181.978271,2455799
24-03-2023,2206,2219.350098,2153.050049,2166.149902,2141.930908,1449544
27-03-2023,2175.050049,2190,2150,2154,2129.916992,1540581
28-03-2023,2167.75,2169.800049,2122.449951,2133.600098,2109.745361,1627243
29-03-2023,2137.649902,2159.300049,2121,2147.449951,2123.440186,2372385
31-03-2023,2156.5,2176.949951,2150.550049,2164.199951,2140.00293,1489542
03-04-2023,2180,2183.5,2155,2170.149902,2145.886475,1231654
05-04-2023,2170,2262.5,2165,2257.75,2232.50708,2763363
06-04-2023,2257.75,2291.649902,2254.449951,2274.25,2248.82251,2389899
10-04-2023,2284.899902,2319.899902,2278.050049,2309.699951,2283.876221,1955914
11-04-2023,2320,2330,2287.300049,2301.5,2275.767822,1342440
12-04-2023,2304,2312.699951,2281.949951,2288.5,2262.91333,1165839
13-04-2023,2294.800049,2295,2242.449951,2258.75,2233.49585,1956668
17-04-2023,2258.75,2273.800049,2201.149902,2214,2189.246094,4125850
18-04-2023,2220,2230,2188,2216.600098,2191.817383,2848601
19-04-2023,2208.100098,2235,2208.100098,2219.600098,2194.783691,1970015
20-04-2023,2225,2251.449951,2222.25,2232.75,2207.786621,1898996
21-04-2023,2240.149902,2243,2202,2215.199951,2190.432617,1009316
24-04-2023,2220,2232.699951,2186.550049,2228.899902,2203.979492,1239073
25-04-2023,2231.050049,2254,2218.100098,2247.949951,2222.816406,1350118
26-04-2023,2247.850098,2287.300049,2244.050049,2276.149902,2250.701416,1894812
27-04-2023,2275.75,2310,2267.100098,2305.600098,2279.822266,1252989
28-04-2023,2312.300049,2369,2312.300049,2364.399902,2337.9646,2884961
02-05-2023,2373.199951,2416.350098,2373.199951,2384.449951,2357.790283,1840153
03-05-2023,2384.100098,2390,2348.5,2356.300049,2329.955322,998235
04-05-2023,2361.800049,2381.649902,2342.850098,2356.899902,2330.54834,1230912
05-05-2023,2357,2406.949951,2357,2377.5,2350.918213,2425866
08-05-2023,2377.449951,2385,2354.050049,2365.399902,2338.953125,1583576
09-05-2023,2367.649902,2401.899902,2367.649902,2374.350098,2347.803467,1417301
10-05-2023,2387,2388.949951,2350,2364.449951,2338.013916,1675409
11-05-2023,2300,2314.050049,2237.350098,2242.149902,2217.081299,9470848
12-05-2023,2222.649902,2235,2197.350098,2221.100098,2196.266846,5367292
15-05-2023,2220.899902,2260,2215,2246.850098,2221.729004,2662740
16-05-2023,2254.600098,2255,2223.100098,2227.199951,2202.298584,2528855
17-05-2023,2224.350098,2244,2210.199951,2219.600098,2194.783691,1961004
18-05-2023,2230,2233.550049,2181,2188.199951,2163.734619,2290757
19-05-2023,2192,2199.050049,2168.5,2190.050049,2165.563965,1729803
22-05-2023,2190,2222,2178.399902,2216.600098,2191.817383,1112099
23-05-2023,2225.600098,2228.600098,2194,2197.649902,2173.079102,2265389
24-05-2023,2200,2208.5,2176,2185.149902,2160.71875,2648479
25-05-2023,2190,2207.300049,2178,2204.699951,2180.050049,1689521
26-05-2023,2209,2220.75,2201,2218.449951,2193.646484,1249128
29-05-2023,2225,2241.800049,2220.199951,2224.550049,2199.678223,1369656
30-05-2023,2230,2237,2207.199951,2210.800049,2186.081787,1716729
31-05-2023,2201.100098,2224,2200,2205.649902,2180.989502,2809284
01-06-2023,2217,2222,2202.149902,2207.800049,2183.115479,1049488
02-06-2023,2221,2237.300049,2212.149902,2234.550049,2209.56665,1399950
05-06-2023,2245,2272.800049,2240,2268.300049,2242.938965,2344944
06-06-2023,2269,2280.699951,2263.699951,2277.949951,2252.481201,1677680
07-06-2023,2278,2318,2278,2315.5,2289.611328,2128603
08-06-2023,2316.949951,2345.050049,2312.75,2340.300049,2314.134277,2556995
09-06-2023,2345,2368.850098,2338.25,2363,2336.580078,2501720
12-06-2023,2365,2370,2333.100098,2339.949951,2313.787842,1172382
13-06-2023,2345.850098,2357.899902,2327.100098,2354.399902,2328.076416,1688768
14-06-2023,2352.899902,2360,2340,2355.050049,2328.719238,1013564
15-06-2023,2355,2369.5,2349,2361.300049,2334.899414,2561534
16-06-2023,2363.75,2380,2352.25,2366.800049,2340.337891,1794542
19-06-2023,2379,2419.899902,2361,2366.350098,2339.893066,3111256
20-06-2023,2364.949951,2389.649902,2354.449951,2382,2355.36792,1771306
21-06-2023,2382,2412,2382,2394.449951,2367.678467,1607299
22-06-2023,2394.600098,2424,2380,2416.25,2389.234863,1741775
23-06-2023,2418.949951,2427,2383.25,2389.550049,2362.833496,1212955
26-06-2023,2398.100098,2403.850098,2367.949951,2377.550049,2350.967529,793572
27-06-2023,2387.449951,2396.949951,2371.550049,2388.050049,2361.350342,1012317
28-06-2023,2388.050049,2388.050049,2388.050049,2388.050049,2361.350342,0
30-06-2023,2420,2483.5,2415.050049,2475.550049,2447.871826,2690699
03-07-2023,2478.199951,2492.399902,2448,2454.050049,2426.612305,1078456
04-07-2023,2458.199951,2484.399902,2458.199951,2461.850098,2434.325195,1441581
05-07-2023,2461,2484.949951,2454.350098,2470.800049,2443.175049,1191896
06-07-2023,2468.100098,2499.949951,2467.550049,2488.600098,2460.776123,1796824
07-07-2023,2482.75,2504,2444.600098,2449.350098,2421.965088,1837661
10-07-2023,2450,2463.350098,2420,2438.75,2411.483154,1178479
11-07-2023,2447.199951,2479,2447.199951,2474.550049,2446.883301,1219658
12-07-2023,2480.300049,2485.949951,2447.800049,2454.949951,2427.502197,1822435
