Date,Open,High,Low,Close,MAXHEALTH,Volume
15-12-2022,433,439.700012,430.25,433.450012,432.73114,1707591
16-12-2022,430.299988,436.200012,423.350006,426.950012,426.241913,1314423
19-12-2022,427,432.700012,418.600006,424.600006,423.895813,1120013
20-12-2022,423.25,440,422.649994,438.25,437.523163,2061305
21-12-2022,441.450012,449.399994,435,439.549988,438.820984,1782044
22-12-2022,442.5,450.899994,437.049988,447.200012,446.458344,2223868
23-12-2022,447,447.200012,427.299988,432.399994,431.682861,837210
26-12-2022,435,447.200012,426.600006,445.549988,444.811035,923446
27-12-2022,446.950012,449.649994,435.200012,437.700012,436.974091,652315
28-12-2022,439.5,439.799988,433.200012,438,437.27359,379336
29-12-2022,437.899994,460,430.049988,454.25,453.496613,2053817
30-12-2022,453.549988,456.950012,435.350006,439.549988,438.820984,1406557
02-01-2023,441.75,451.25,435.399994,447.600006,446.857666,613060
03-01-2023,451.149994,451.149994,442.5,446.549988,445.809387,396312
04-01-2023,445,447.950012,436.850006,445.149994,444.411713,687298
05-01-2023,446,449.350006,437.299988,440,439.270264,1177013
06-01-2023,440.049988,440.399994,429.25,433.350006,432.631287,1167423
09-01-2023,437.5,453,434.25,451.149994,450.401764,1901056
10-01-2023,451,462.549988,447.799988,451.700012,450.950867,3455125
11-01-2023,454,459.399994,445.25,448.450012,447.706268,793529
12-01-2023,450,454,446.899994,452.899994,452.148865,942839
13-01-2023,452.600006,456.799988,447.25,453,452.248688,1193182
16-01-2023,453,459.399994,451.399994,453.549988,452.797791,610415
17-01-2023,455.799988,455.799988,446,453.700012,452.94754,1392112
18-01-2023,455.25,455.850006,445.950012,452,451.250366,1133398
19-01-2023,450.25,453,442.100006,446.649994,445.90921,1277349
20-01-2023,446,451.100006,436,438.399994,437.672913,1059249
23-01-2023,438,448,426.25,443.950012,443.213715,1537129
24-01-2023,440,443.549988,432.049988,434.600006,433.879211,410812
25-01-2023,434.600006,440.799988,425.049988,438.149994,437.423309,2211079
27-01-2023,438.950012,459.799988,435.850006,454.600006,453.846039,2665309
30-01-2023,452.5,453.5,437.299988,439.75,439.02066,1783445
31-01-2023,440.049988,447.5,434.049988,441.700012,440.967468,1610363
01-02-2023,463.600006,463.600006,430.5,441.200012,440.468292,1613929
02-02-2023,440,443.649994,434.049988,440.950012,440.218689,1506582
03-02-2023,441,441.549988,425.049988,435.5,434.77771,2666546
06-02-2023,432.549988,442.649994,432.549988,440.25,439.519836,402844
07-02-2023,440.649994,442.149994,435.100006,439.850006,439.120514,953241
08-02-2023,440,443.049988,435.700012,437.700012,436.974091,1123330
09-02-2023,439,442.100006,436.850006,440.5,439.76944,527432
10-02-2023,440.5,442.850006,435.450012,437.399994,436.674561,778807
13-02-2023,437.600006,438.75,426.649994,430.600006,429.885864,1454979
14-02-2023,428.200012,429.950012,421,423.350006,422.647888,1435032
15-02-2023,423,426.200012,421.149994,423.549988,422.847534,849521
16-02-2023,421.700012,433.950012,417.149994,429.700012,428.987366,5501830
17-02-2023,430.25,438.75,428.600006,433.799988,433.080536,1297097
20-02-2023,436.950012,440.200012,426.200012,428.350006,427.639587,410047
21-02-2023,428,435.399994,428,433.200012,432.481537,1023742
22-02-2023,431.149994,437.350006,429.450012,431.25,430.53476,1080016
23-02-2023,432.25,432.899994,426.149994,428.25,427.539734,1027573
24-02-2023,428.25,433.899994,427.149994,431.600006,430.884186,752460
27-02-2023,431.600006,431.799988,425.299988,429.649994,428.937408,649946
28-02-2023,427.149994,434,423.100006,426.100006,425.393311,1538948
01-03-2023,428.25,435,426.5,433.549988,432.830933,1340035
02-03-2023,433.5,433.75,428.5,429.399994,428.687836,709558
03-03-2023,429.950012,431.5,423.049988,425.450012,424.744415,618261
06-03-2023,428,432.600006,426.549988,430.799988,430.08551,1027758
08-03-2023,424,439,424,437.950012,437.223663,1164589
09-03-2023,437.950012,455.399994,436.049988,453.200012,452.448395,2527509
10-03-2023,453.200012,461.799988,450.149994,457.75,456.990814,3705846
13-03-2023,460.049988,468,453.600006,462.700012,461.932617,2062560
14-03-2023,465.799988,477.799988,462.299988,468.649994,467.872742,3975743
15-03-2023,466.149994,477.049988,463,468.700012,467.922668,2164066
16-03-2023,467,470.950012,457.600006,464.399994,463.629791,1794019
17-03-2023,463.100006,469.899994,458.75,460.049988,459.286987,2885033
20-03-2023,474.950012,474.950012,458.600006,468.200012,467.423492,4308178
21-03-2023,468.399994,470.450012,461.649994,464.5,463.729614,5089755
22-03-2023,465.149994,469.5,463.600006,466.950012,466.175568,1861207
23-03-2023,468,469.350006,461.850006,466.850006,466.075745,1275635
24-03-2023,466.149994,467.549988,458,460.700012,459.935944,2188315
27-03-2023,463.700012,465.75,449.649994,459.399994,458.638092,1234579
28-03-2023,459.399994,460.950012,448,449.950012,449.203766,3066496
29-03-2023,443.799988,458,443.799988,451.700012,450.950867,1158628
31-03-2023,450.200012,451.350006,436,441.100006,440.368439,1529683
03-04-2023,436.450012,439,431.549988,432.700012,431.982391,1582788
05-04-2023,428,431.899994,413.100006,419.149994,418.454834,3115322
06-04-2023,415.75,434.950012,411.899994,430.350006,429.636261,1942520
10-04-2023,436.100006,451.5,434.200012,440.700012,439.969116,2007612
11-04-2023,443,459.899994,442.200012,450.899994,450.152191,2277870
12-04-2023,450.200012,486.25,438.5,479,478.205566,14214382
13-04-2023,479,495,468.350006,471.649994,470.867767,4208505
17-04-2023,473.600006,474.899994,457.100006,471.299988,470.518341,2158139
18-04-2023,471,471,460.25,463.899994,463.130615,2523101
19-04-2023,466.25,477.950012,464.549988,469.799988,469.020813,2420589
20-04-2023,471.399994,475.899994,465,465.399994,464.628143,1116003
21-04-2023,466.600006,467.25,451.149994,453.450012,452.697968,1280680
24-04-2023,453.450012,454.149994,443,449.799988,449.053986,948444
25-04-2023,447,450.549988,435.049988,440.100006,439.370087,8063667
26-04-2023,441.049988,445.350006,436.899994,440.299988,439.569763,1125684
27-04-2023,442.549988,454.399994,438.450012,452.200012,451.450043,1152173
28-04-2023,454,462.100006,449,460.049988,459.286987,1111659
02-05-2023,460.899994,479,460.450012,474.799988,474.012543,1893299
03-05-2023,474.700012,482.399994,468.25,476.049988,475.260468,2804318
04-05-2023,471.649994,484.399994,469.049988,481.149994,480.35202,1219061
05-05-2023,480,486,476.100006,484.25,483.446869,707698
08-05-2023,487.5,490.350006,474.350006,478.600006,477.806244,1935690
09-05-2023,481.100006,484.75,471.200012,481.299988,480.50174,2152420
10-05-2023,483.25,483.25,468.100006,480.149994,479.353668,1761012
11-05-2023,480,485.799988,478.600006,484.049988,483.247192,2023509
12-05-2023,509,513.25,497.25,499.850006,499.020996,13431020
15-05-2023,499.5,524.700012,495.600006,519.900024,519.037781,4278648
16-05-2023,521.900024,525,502,507.75,506.907898,5650467
17-05-2023,512.299988,528.400024,508.5,522.599976,521.733215,5215249
18-05-2023,524.900024,536,520.049988,534.200012,533.314026,4751726
19-05-2023,534.25,552.099976,534.25,545.150024,544.245911,6724371
22-05-2023,549.900024,558.849976,543.25,552.549988,551.633606,12219797
23-05-2023,558,564.75,546.450012,553.75,552.831604,9698831
24-05-2023,555.549988,562.5,550,557.75,556.824951,13088349
25-05-2023,559.900024,559.900024,528.5,536.700012,535.809875,4286399
26-05-2023,540.450012,556.950012,535,540.200012,539.304077,4479668
29-05-2023,542.400024,548,534.049988,536.900024,536.009583,2280303
30-05-2023,539.799988,546.799988,532.549988,535.75,534.86145,7783524
31-05-2023,542,562,522.150024,549.450012,548.538757,101078986
01-06-2023,545.849976,547.900024,528.099976,532.950012,532.066101,5171685
02-06-2023,532,539,527.5,531,530.119324,3976828
05-06-2023,533.75,537.400024,515,519.049988,518.189148,2212840
06-06-2023,510,528,508.799988,523.900024,523.031128,3902253
07-06-2023,526.950012,565,526.75,559.849976,558.921448,6091207
08-06-2023,559.849976,562.099976,549.049988,557.400024,556.475586,3580397
09-06-2023,559.400024,577.400024,557.5,569.700012,568.755188,4518069
12-06-2023,571.900024,573.700012,562.950012,566.849976,565.909851,986664
13-06-2023,569.049988,579.700012,567.049988,576.549988,575.59375,4835369
14-06-2023,575,584.650024,573.25,583.400024,582.432434,2597751
15-06-2023,585.650024,593.450012,575.650024,585,584.029785,1516197
16-06-2023,590,600.549988,585.849976,594.400024,593.414185,1938902
19-06-2023,597.349976,630,595.5,601.650024,600.652161,2090957
20-06-2023,601.25,602.849976,582.349976,584.049988,583.08136,1970415
21-06-2023,588.450012,594.799988,575.549988,579.400024,578.439087,2094468
22-06-2023,581.400024,586.950012,571.25,580.950012,579.986511,1288376
23-06-2023,577,585.5,565.25,580.549988,579.587158,1464594
26-06-2023,578.650024,609,578.650024,602.650024,601.650513,2073893
27-06-2023,609.650024,616.849976,605.849976,609.650024,608.638916,1876097
28-06-2023,609.650024,609.650024,609.650024,609.650024,608.638916,0
30-06-2023,609,620.849976,596.700012,599.450012,598.455811,2202968
03-07-2023,600,608.400024,596,605.849976,604.845154,1215993
04-07-2023,605,608.599976,590.150024,593.849976,592.865051,1323219
05-07-2023,598,612.349976,593.849976,603.650024,602.648865,4900045
06-07-2023,607.700012,618.599976,602.099976,614.25,613.231262,6200292
07-07-2023,613.799988,619.400024,605.400024,609.900024,608.888489,819005
