Date,Open,High,Low,Close,ITC,Volume
06-01-2023,334.700012,337.549988,333.100006,335.049988,327.828247,8284135
09-01-2023,336.950012,341.299988,336.149994,338.049988,330.76358,10618786
10-01-2023,337.899994,338.399994,332.549988,333.399994,326.213806,6949605
11-01-2023,335.100006,335.100006,331.299988,331.799988,324.648285,4584293
12-01-2023,333.399994,333.600006,328.100006,329.850006,322.740356,6638422
13-01-2023,329.850006,332.25,326.399994,328.75,321.664032,14412671
16-01-2023,330.350006,332.200012,327.549988,330.200012,323.082794,8253942
17-01-2023,330.200012,333.5,329.100006,332.25,325.088623,13712537
18-01-2023,334,336.549988,332.399994,334.649994,327.43689,12555527
19-01-2023,334,335.649994,331.649994,332.149994,324.990753,8346130
20-01-2023,332,335.200012,329.25,334.600006,327.38797,13103664
23-01-2023,336,338.149994,333.049988,337.75,330.470062,7124807
24-01-2023,337.799988,340.75,337.600006,338.950012,331.644196,12302874
25-01-2023,338.899994,341,335.25,339.25,331.937714,12497542
27-01-2023,341.799988,348.850006,341.5,346,338.542236,21040139
30-01-2023,346.899994,351.75,341.850006,344.799988,337.368103,14091519
31-01-2023,346,355,341.049988,352.350006,344.755402,17134291
01-02-2023,353,365.700012,329.100006,361.399994,353.610291,64518967
02-02-2023,361.600006,384.700012,360.399994,378.600006,370.439575,55745171
03-02-2023,381.899994,382.25,372,380.649994,372.445374,22295321
06-02-2023,382.5,388.200012,379.600006,383.399994,375.136108,25790153
07-02-2023,383.899994,383.899994,368.450012,373.25,365.204895,20643707
08-02-2023,374.75,377.299988,371.549988,375.549988,367.455292,10420462
09-02-2023,374,380,372.149994,374.25,366.183319,11861196
10-02-2023,372.200012,376.950012,370.299988,371.350006,363.345825,10278597
13-02-2023,373,375.149994,370,374.200012,366.134399,9901148
14-02-2023,375,387.649994,373.75,386.450012,378.120392,29125052
15-02-2023,381.75,382.850006,378.549988,382.200012,379.85965,12209350
16-02-2023,382,385.25,381,382.549988,380.207489,9775280
17-02-2023,381.049988,384.549988,379.25,383.399994,381.052307,7672135
20-02-2023,384.700012,387.5,381.299988,384.049988,381.698303,7804976
21-02-2023,385,385.899994,381.700012,382.25,379.909332,8259574
22-02-2023,382,384.899994,380,383.850006,381.499542,8961077
23-02-2023,384.450012,394,383.100006,387.600006,385.226593,18830592
24-02-2023,389,389,381,385.100006,382.741913,12910220
27-02-2023,385.100006,386.799988,378.100006,382.200012,379.85965,8142319
28-02-2023,382.5,384.25,375,376.700012,374.393341,16367477
01-03-2023,374.25,380.399994,373.600006,378.700012,376.381104,7766667
02-03-2023,379.5,379.75,374.700012,375.549988,373.250366,5019603
03-03-2023,377,385.399994,376.100006,384.950012,382.592834,8180709
06-03-2023,385.899994,392.5,385.25,388.149994,385.773224,10714339
08-03-2023,388,393.149994,385.100006,392.399994,389.997192,8917699
09-03-2023,392.100006,393.600006,385.649994,387.5,385.127197,9634283
10-03-2023,386.950012,390.200012,383.5,388,385.624146,8362265
13-03-2023,389.200012,390.899994,382.5,383.649994,381.300751,8791872
14-03-2023,385.700012,386.450012,377.200012,379.700012,377.374969,10229766
15-03-2023,381,384.299988,378,379.399994,377.076782,8423692
16-03-2023,380.600006,382.350006,376.850006,381.450012,379.114258,15710094
17-03-2023,385,385,369.649994,375.549988,373.250366,48904254
20-03-2023,373.299988,379.350006,372,378.799988,376.480469,10122167
21-03-2023,378.799988,378.799988,374.049988,376.950012,374.641815,11610832
22-03-2023,376.950012,378.850006,374.200012,377.75,375.43689,4774867
23-03-2023,377,382.75,374.399994,380.649994,378.319122,9752326
24-03-2023,381.5,383,378,378.700012,376.381104,9934501
27-03-2023,377.950012,384.399994,376.350006,380.200012,377.871918,10816352
28-03-2023,380.200012,382.350006,378.149994,379.75,377.424652,9170535
29-03-2023,380.200012,384,377.149994,382.75,380.406281,10160322
31-03-2023,382,384.5,380,383.5,381.151703,9511189
03-04-2023,384,384,378.5,378.899994,376.579865,7059200
05-04-2023,378.899994,387.049988,378.899994,386.399994,384.033936,11608424
06-04-2023,386.649994,390.299988,384.200012,387.350006,384.978119,12897667
10-04-2023,387.350006,390,384.75,388.549988,386.170746,6783022
11-04-2023,388.549988,398.100006,388,396,393.575134,18237451
12-04-2023,397.75,397.799988,392.100006,393.549988,391.140137,9747526
13-04-2023,395.5,396.600006,393.700012,395.600006,393.177612,6059044
17-04-2023,392.899994,402,392.899994,400.149994,397.699738,11041243
18-04-2023,400,402,397,398.5,396.059845,9494641
19-04-2023,396.049988,401.350006,396,398.75,396.308319,9744202
20-04-2023,400,402.649994,397.700012,400.299988,397.848816,6667781
21-04-2023,400.299988,409,399.049988,408.25,405.750122,14252204
24-04-2023,410,410,404.200012,408.700012,406.197388,5981760
25-04-2023,408.700012,413.549988,407.399994,411.549988,409.029907,8840188
26-04-2023,412,413,409.049988,412.25,409.725647,7620723
27-04-2023,412.200012,417.399994,411,416,413.452667,12614263
28-04-2023,418,428.25,413.700012,425.549988,422.944183,12718721
02-05-2023,426,427,421.200012,424.450012,421.850952,10253527
03-05-2023,424,428.5,422.049988,427.149994,424.534393,7325483
04-05-2023,425.299988,427,424,424.600006,422.000031,7984933
05-05-2023,425.950012,431.899994,424.350006,428.75,426.124603,12412416
08-05-2023,431,433.450012,429.350006,431.450012,428.808075,7243636
09-05-2023,432.799988,433.149994,421.5,423.799988,421.204895,9992962
10-05-2023,423.950012,426.350006,422.200012,425.350006,422.745422,9754485
11-05-2023,427.25,427.399994,418.899994,420.399994,417.825745,15982423
12-05-2023,420.399994,422.700012,416.049988,420.450012,417.875458,11135894
15-05-2023,420,428.700012,419.049988,427.799988,425.18042,9151102
16-05-2023,430,430,423.5,423.950012,421.354004,7994197
17-05-2023,424.149994,428.950012,422.600006,427.600006,424.981659,9479691
18-05-2023,430,432.450012,418.100006,419.700012,417.130035,23995166
19-05-2023,420.950012,423.100006,411.350006,419.850006,417.279114,25767521
22-05-2023,421.950012,425.75,419.100006,424.75,422.149109,15421680
23-05-2023,426,431.200012,424.200012,429.149994,426.522156,8732608
24-05-2023,428.299988,434.75,427,433.5,430.84552,11479706
25-05-2023,436.950012,442.450012,434.799988,441.149994,438.448669,18204464
26-05-2023,443.399994,444.75,439.5,443.600006,440.883667,12995706
29-05-2023,445,451.799988,444.100006,449.100006,446.350006,19826254
30-05-2023,441,451.450012,441,449.899994,449.899994,18900002
31-05-2023,449.299988,452,442.450012,445.5,445.5,14272292
01-06-2023,447,447,439,439.700012,439.700012,8803137
02-06-2023,440,444.899994,439.799988,443.399994,443.399994,9203842
05-06-2023,445,446.850006,440.100006,440.649994,440.649994,7152179
06-06-2023,440.799988,443.600006,440.399994,442.799988,442.799988,6454486
07-06-2023,444,445.649994,442.75,443.950012,443.950012,7543432
08-06-2023,445.700012,445.75,441.899994,442.899994,442.899994,7024424
09-06-2023,435.149994,444.700012,435.149994,438.450012,438.450012,7057843
12-06-2023,440,440.950012,433.850006,436.950012,436.950012,8719176
13-06-2023,441,446.399994,438.299988,445.399994,445.399994,16111860
14-06-2023,446.25,447.75,443.75,444.5,444.5,8704178
15-06-2023,445,448.75,444.75,448.100006,448.100006,7498727
16-06-2023,449,455.600006,447.899994,453.100006,453.100006,11729681
19-06-2023,454.75,455.899994,452.25,453.600006,453.600006,4189180
20-06-2023,454.799988,454.799988,450.149994,452.850006,452.850006,4472119
21-06-2023,452,454.200012,445.049988,447.049988,447.049988,6059504
22-06-2023,448,449.649994,445.850006,447.649994,447.649994,6637099
23-06-2023,447.5,447.649994,442.700012,444.75,444.75,6090901
26-06-2023,446.899994,451.399994,444,445.700012,445.700012,5477339
27-06-2023,446.100006,447.200012,443.149994,445.100006,445.100006,4865596
28-06-2023,445.100006,445.100006,445.100006,445.100006,445.100006,0
30-06-2023,450,451.950012,446.600006,451.600006,451.600006,9106074
03-07-2023,451.600006,465.950012,450.049988,463.25,463.25,10699143
04-07-2023,465,468,459.799988,466.350006,466.350006,7725081
05-07-2023,466.350006,480.649994,464.299988,475.100006,475.100006,16252992
06-07-2023,477.350006,477.399994,470.5,473.899994,473.899994,9471054
07-07-2023,473,475.5,467.600006,468.399994,468.399994,7323451
10-07-2023,470,470.899994,463.700012,465.850006,465.850006,6521300
11-07-2023,466,474.549988,466,473.149994,473.149994,8457557
12-07-2023,477.75,477.75,470.450012,472.299988,472.299988,12340934
13-07-2023,473.899994,476.75,471,472,472,7909757
14-07-2023,473,475,471.350006,472.899994,472.899994,5081391
17-07-2023,474.5,475.799988,470.600006,472.350006,472.350006,6090738
18-07-2023,472.549988,474.200012,471,472.5,472.5,5352283
19-07-2023,472.75,480.450012,468.100006,478.850006,478.850006,13867323
20-07-2023,479.899994,493.700012,476.299988,492.149994,492.149994,20250206
21-07-2023,491.799988,497.700012,487,490.450012,490.450012,13971982
24-07-2023,493.450012,499.700012,468.149994,471.350006,471.350006,38976815
25-07-2023,467.899994,468.5,455.399994,462.299988,462.299988,43534718
26-07-2023,464.899994,473,462.049988,472.25,472.25,18143422
27-07-2023,474.399994,475.149994,461.100006,465.049988,465.049988,13989457
28-07-2023,467.700012,469.450012,463.399994,468.450012,468.450012,9978231
31-07-2023,469,469.700012,463.5,465.700012,465.700012,8194797
01-08-2023,466,468.850006,463.799988,464.799988,464.799988,6438221
02-08-2023,464.600006,464.799988,458,460.100006,460.100006,10318220
03-08-2023,460.100006,463.75,454.299988,456.049988,456.049988,10617897
04-08-2023,456.299988,461.399994,454.25,454.950012,454.950012,6834401
07-08-2023,454.100006,456.549988,450.950012,454.899994,454.899994,9161131
08-08-2023,457,457,451.049988,452.350006,452.350006,6392488
09-08-2023,452.350006,459.899994,446.899994,458.649994,458.649994,9758343
10-08-2023,458.899994,459.299988,449,451.75,451.75,13194170
11-08-2023,453.899994,453.899994,444.75,448.75,448.75,11582326
14-08-2023,448.75,451.25,445.049988,449.200012,449.200012,7562808
16-08-2023,451,457.399994,448.200012,450.25,450.25,14920272
17-08-2023,450,450,440,441,441,16269569
18-08-2023,441,443.350006,438.5,441.649994,441.649994,19324262
21-08-2023,442,448.5,441.350006,447.799988,447.799988,9572041
22-08-2023,449,455.149994,447,454.25,454.25,9854945
23-08-2023,455.600006,455.649994,448.600006,450.450012,450.450012,8445029
24-08-2023,450.600006,453.5,449.299988,450.899994,450.899994,6088274
25-08-2023,450.899994,451,442.049988,443.350006,443.350006,9270988
28-08-2023,445,446.850006,441,441.399994,441.399994,6910750
29-08-2023,442.950012,444,439.200012,440.100006,440.100006,9480003
30-08-2023,441,444,440.5,442.799988,442.799988,7364924
31-08-2023,443,444.899994,436.100006,439.700012,439.700012,19900312
01-09-2023,440,445,438.299988,441.049988,441.049988,11438624
04-09-2023,443.350006,443.350006,436.649994,437.5,437.5,13604608
05-09-2023,438.899994,444.5,438.5,443.100006,443.100006,8378915
06-09-2023,443.950012,448.5,442,447.450012,447.450012,12863039
07-09-2023,448.799988,449,444.600006,445.899994,445.899994,8090369
08-09-2023,447.899994,447.899994,441.850006,442.649994,442.649994,9939517
11-09-2023,446,448.100006,442.649994,447.200012,447.200012,9320577
12-09-2023,448.899994,454.299988,445.600006,451.149994,451.149994,14406441
13-09-2023,452.200012,457,451.100006,453.5,453.5,11813170
14-09-2023,455.899994,455.899994,447.149994,449.950012,449.950012,14430930
15-09-2023,448.049988,452.100006,447,448.350006,448.350006,15077136
18-09-2023,448.350006,454,446.200012,452.049988,452.049988,8197425
20-09-2023,451.700012,455.100006,449.549988,452.950012,452.950012,9959649
21-09-2023,452.799988,453.549988,444.5,447.5,447.5,10719470
22-09-2023,447.5,448.399994,442.25,443.100006,443.100006,7506309
25-09-2023,443.100006,444.799988,438.350006,442.600006,442.600006,5782955
26-09-2023,443.600006,444.5,439.700012,442.450012,442.450012,5327833
27-09-2023,442.450012,449.799988,438.799988,449.149994,449.149994,10490786
28-09-2023,449.950012,449.950012,439.600006,440.75,440.75,10216736
29-09-2023,442,445.600006,439.200012,444.399994,444.399994,8160058
03-10-2023,441,442.899994,439.25,439.75,439.75,7481883
04-10-2023,439.75,441.700012,433.299988,436.100006,436.100006,13396709
05-10-2023,440,440.5,435.049988,436.049988,436.049988,10030257
06-10-2023,437.850006,443.600006,436.649994,442.149994,442.149994,8418580
