Date,Open,High,Low,Close,PFC,Volume
13-12-2022,116.760002,116.800003,114.440002,116,109.408913,6940876
14-12-2022,116.239998,118.239998,116.239998,117,110.352089,8174452
15-12-2022,117.279999,117.760002,114.32,114.800003,108.277092,6736632
16-12-2022,114.720001,114.800003,111.239998,113.279999,106.84346,8429702
19-12-2022,113.480003,115.919998,112.760002,115.440002,108.88073,5322128
20-12-2022,115.440002,115.720001,112.480003,113.360001,106.918907,7110931
21-12-2022,113.800003,114.360001,109.239998,110.080002,103.825279,6608451
22-12-2022,111.360001,111.639999,108.599998,109.800003,103.561195,8076792
23-12-2022,109.040001,109.360001,104.839996,105.440002,99.448929,10022860
26-12-2022,105.400002,109.720001,104.400002,109.040001,102.844376,6778067
27-12-2022,109.68,110.239998,108.040001,109.199997,102.995277,3590696
28-12-2022,109.199997,111.199997,109.040001,110.160004,103.900742,3596935
29-12-2022,109.599998,111.160004,108.959999,110.720001,104.428917,4492741
30-12-2022,111.480003,114.559998,110.599998,112.919998,106.503914,6596933
02-01-2023,113.959999,120.440002,112.919998,119.760002,112.955269,17071628
03-01-2023,120.720001,126.239998,119.720001,124.800003,117.7089,38370371
04-01-2023,125.599998,125.68,121.360001,123.599998,116.577072,17767510
05-01-2023,123.599998,126.400002,122.080002,125.519997,118.387978,14238477
06-01-2023,126.120003,128.639999,123.360001,125.720001,118.576614,26643681
09-01-2023,127.279999,129.440002,126.279999,127.440002,120.198891,19991886
10-01-2023,128,128,122.919998,124.080002,117.029808,13101983
11-01-2023,123.68,124.199997,120.160004,121.440002,114.539803,13945553
12-01-2023,121.879997,122.360001,117.879997,119.400002,112.615723,12366553
13-01-2023,119.400002,123,118,122.199997,115.256615,12919452
16-01-2023,122.599998,123.959999,119.879997,120.400002,113.558899,9237775
17-01-2023,120.800003,121.919998,118.800003,119.959999,113.143898,9592017
18-01-2023,120.239998,121.599998,119.839996,121.360001,114.464355,7077216
19-01-2023,121.199997,122.199997,120.279999,121.639999,114.728439,6111051
20-01-2023,122,122.160004,120,120.32,113.483444,5755195
23-01-2023,120.68,121.599998,120.400002,120.800003,113.936172,3157921
24-01-2023,121.120003,121.440002,119.080002,119.480003,112.691177,3337365
25-01-2023,119.480003,119.519997,113.919998,114.760002,108.239365,20025671
27-01-2023,114.919998,115.199997,106.440002,108.879997,102.693459,21800482
30-01-2023,109.160004,111.839996,107.279999,108.599998,102.429375,9150842
31-01-2023,109.480003,113.599998,107.639999,113.160004,106.730278,11876770
01-02-2023,113.599998,115.400002,107.760002,109.080002,102.882103,9818522
02-02-2023,108.720001,112.040001,107.360001,110.760002,104.466644,6125063
03-02-2023,111.199997,113.480003,108.519997,113.199997,106.767998,7357431
06-02-2023,113.32,115.040001,113.120003,114.720001,108.201637,3597581
07-02-2023,114.599998,116.68,113.720001,114.639999,108.126183,6830677
08-02-2023,114.879997,115.199997,113.400002,114.879997,108.352547,2894798
09-02-2023,114.879997,116.68,112.800003,116.279999,109.672997,5719365
10-02-2023,116.040001,117.239998,115.800003,116.639999,110.012543,2816965
13-02-2023,116.400002,117.160004,111.639999,113.080002,106.654823,9662873
14-02-2023,114.32,115.480003,109.360001,114.879997,108.352547,13028332
15-02-2023,114.839996,119.400002,114.360001,118.68,111.93663,8034723
16-02-2023,118.800003,121,118.199997,120.199997,113.370262,7753257
17-02-2023,119.68,120.480003,118.120003,118.800003,112.049812,3626445
20-02-2023,119.440002,119.519997,117.440002,117.800003,111.106636,4501741
21-02-2023,118,121.519997,117.599998,119.68,112.879807,7102333
22-02-2023,119.32,119.32,115.839996,117.080002,110.427544,6770372
23-02-2023,117.080002,118.879997,116.040001,118.040001,111.332993,5847310
24-02-2023,116,116.800003,114.279999,115.760002,112.518837,5354430
27-02-2023,115.199997,116,111.919998,114.720001,111.507957,4602553
28-02-2023,114.400002,116.800003,113.720001,116.32,113.063156,7016653
01-03-2023,116.519997,120.040001,115.519997,119.559998,116.21244,5703165
02-03-2023,119.879997,121.279999,118.800003,120.279999,116.912277,5360617
03-03-2023,120.919998,124.400002,120.559998,124.120003,120.644768,10126691
06-03-2023,125,129.600006,124.120003,129.399994,125.776924,14983856
08-03-2023,129,135.679993,128.759995,134.720001,130.947983,24643768
09-03-2023,135.559998,136.479996,133.240005,134.520004,130.753586,16279688
10-03-2023,133.600006,134.800003,131.639999,133.639999,129.898209,9978958
13-03-2023,134.320007,134.600006,130.080002,130.759995,127.098846,9129677
14-03-2023,130.440002,131.600006,128.479996,128.839996,125.232605,10418103
15-03-2023,130.039993,131.600006,128.240005,128.679993,125.077087,7583436
16-03-2023,128.080002,128.320007,124.080002,126.519997,122.977562,10848187
17-03-2023,127.279999,128,122.440002,124.720001,121.227966,18491806
20-03-2023,123.279999,124.080002,119.68,120.68,117.301086,11097073
21-03-2023,121.599998,123.760002,119.839996,123.32,119.867165,8820185
22-03-2023,123.599998,125.080002,122.800003,123.279999,119.828285,5507520
23-03-2023,124,124.160004,121.239998,121.879997,118.467484,7369057
24-03-2023,120.800003,121.68,117.839996,118.519997,115.201561,5821246
27-03-2023,117.199997,120.239998,116.959999,119.120003,115.784767,8986618
28-03-2023,119.199997,120,116.32,117.360001,114.074043,4765107
29-03-2023,117.199997,121.239998,116.559998,120.919998,117.534363,5628897
31-03-2023,121.239998,122.839996,120.519997,121.400002,118.000923,7727412
03-04-2023,121.959999,124.800003,121.32,124.040001,120.567009,7675828
05-04-2023,124.800003,125.959999,122.239998,125.360001,121.850044,6330727
06-04-2023,124.800003,126.480003,123.120003,125.879997,122.355484,9854273
10-04-2023,126.400002,133.479996,125.400002,133.119995,129.392776,16722371
11-04-2023,133.600006,135.600006,132.279999,135.360001,131.570053,10391460
12-04-2023,134.839996,136.080002,132.320007,132.720001,129.003983,8579281
13-04-2023,132,132.240005,127.519997,129.279999,125.660294,12129911
17-04-2023,128.559998,132.720001,127.879997,132.320007,128.615189,11241922
18-04-2023,133.119995,134.559998,128.440002,129.399994,125.776924,23685972
19-04-2023,129.559998,131.720001,128.800003,129.240005,125.621414,8270541
20-04-2023,129.240005,130.399994,127.760002,128,124.41613,4857083
21-04-2023,128.160004,128.199997,125.080002,125.360001,121.850044,6926976
24-04-2023,125.599998,129.119995,124.639999,128.639999,125.038208,8223696
25-04-2023,129.199997,131.520004,128.839996,129.759995,126.126846,8897916
26-04-2023,129.759995,132.600006,129.199997,132.279999,128.576294,11517041
27-04-2023,132.720001,133.160004,130.639999,131.880005,128.1875,10998576
