Date,Open,High,Low,Close,IOC,Volume
28-11-2022,73.900002,76.449997,73.900002,76.199997,73.881538,40695313
29-11-2022,76.449997,76.699997,75,75.300003,73.008926,17421133
30-11-2022,74.5,77,74.449997,76.650002,74.317848,29122442
01-12-2022,77,77.150002,76,76.199997,73.881538,15072561
02-12-2022,76.199997,77.199997,76,77,74.657204,18220281
05-12-2022,77.050003,77.699997,76.699997,77.050003,74.705681,10947250
06-12-2022,77,77.400002,75.650002,75.800003,73.493713,10369691
07-12-2022,76.75,77.800003,76.150002,76.699997,74.366325,20909569
08-12-2022,77.449997,77.5,76.5,76.75,74.41481,11996025
09-12-2022,77.5,78.349998,76.699997,77,74.657204,24702723
12-12-2022,77,79.050003,76.800003,78.900002,76.49939,20455051
13-12-2022,79.199997,79.25,77.449997,77.75,75.384384,16409283
14-12-2022,77.900002,78.699997,77.550003,78.150002,75.772209,16268873
15-12-2022,78.150002,78.5,77.800003,78.099998,75.723732,9555282
16-12-2022,78.25,78.949997,76.650002,76.949997,74.608719,18672807
19-12-2022,77.199997,78.150002,76.599998,77.949997,75.578293,12681354
20-12-2022,77.949997,78.150002,77.050003,77.800003,75.432861,9368946
21-12-2022,77.800003,78.150002,76.150002,76.400002,74.075455,8618706
22-12-2022,76.400002,76.75,74.650002,75.099998,72.81501,15215404
23-12-2022,74.599998,75.099998,72.800003,73,70.778908,15286836
26-12-2022,73,74.599998,72.349998,74.400002,72.136307,9571856
27-12-2022,74.900002,75.199997,74.349998,75.099998,72.81501,5815217
28-12-2022,74.849998,75.150002,74.449997,74.800003,72.524139,6599386
29-12-2022,74.800003,75.150002,74.099998,74.75,72.475662,10191269
30-12-2022,75.199997,77.5,75.199997,76.5,74.172417,15567911
02-01-2023,77,78.550003,76.449997,78,75.626778,16878293
03-01-2023,78,78.900002,77.699997,78.5,76.111565,11509540
04-01-2023,78.900002,79.5,77.400002,78.099998,75.723732,11974831
05-01-2023,78.75,79.25,78.349998,79.099998,76.693306,14449439
06-01-2023,79.300003,80.800003,79,80.050003,77.614403,19075518
09-01-2023,80.849998,81,79.650002,80.099998,77.66288,16438468
10-01-2023,80.550003,80.800003,79.699997,80.599998,78.147667,11953196
11-01-2023,80.849998,84.050003,80.599998,83.550003,81.007912,44099830
12-01-2023,83.75,83.900002,81.199997,81.599998,79.117241,16440461
