Date,Open,High,Low,Close,RECLTD,Volume
28-12-2022,113.449997,114.800003,112.800003,113.349998,105.962563,5763285
29-12-2022,113,114.050003,111.5,113.849998,106.429977,6321264
30-12-2022,114.099998,118.5,113.599998,116.5,108.907272,16350601
02-01-2023,117.800003,120.75,117,120.400002,112.553093,19310744
03-01-2023,121.25,123.900002,119.75,123,114.983635,27524213
04-01-2023,122.849998,123.849998,119.949997,122.199997,114.235779,14375149
05-01-2023,122.900002,124.25,121.050003,123.849998,115.778236,9774790
06-01-2023,124.349998,126.099998,122.599998,123.699997,115.638016,15575269
09-01-2023,124.949997,126.25,124.300003,125.550003,117.367447,8916789
10-01-2023,125.650002,125.800003,122.099998,123.150002,115.123863,8123881
11-01-2023,123.599998,123.699997,121,121.75,113.815102,7187284
12-01-2023,122,122.150002,119.349998,120.650002,112.786804,6547602
13-01-2023,121,123.449997,120.300003,122.800003,114.796669,5902262
16-01-2023,123,124.400002,122.25,123.449997,115.404312,6285534
17-01-2023,123.699997,124.25,121.25,123.099998,115.077118,6968664
18-01-2023,123.5,124.349998,122.949997,123.699997,115.638016,7636685
19-01-2023,123.5,123.800003,122.5,123.550003,115.497795,3815492
20-01-2023,123.949997,125.5,123.349998,124.099998,116.011948,9653692
23-01-2023,124.949997,124.949997,123.800003,124.349998,116.245659,3611592
24-01-2023,124.75,124.849998,122.349998,122.900002,114.890152,3929827
25-01-2023,122.900002,123.199997,119.599998,120.5,112.646568,10632753
27-01-2023,120.5,120.949997,112.050003,115.150002,107.645248,17188911
30-01-2023,115.300003,118.550003,114.75,115.949997,108.393112,7768757
31-01-2023,116.150002,122.099998,114,121.75,113.815102,13672983
01-02-2023,122.900002,123,115.949997,117.449997,109.795349,14504365
02-02-2023,117.400002,120.25,116.25,117.75,110.075806,7459937
03-02-2023,118.25,119,115.5,118.75,111.010635,6938807
06-02-2023,119.349998,121.5,119,121.099998,113.207466,8742504
07-02-2023,121.449997,123.349998,120.199997,120.599998,112.740059,9355097
08-02-2023,121.25,121.5,119.75,120.849998,112.973755,7409779
09-02-2023,117.550003,118.550003,115.949997,117.300003,112.685562,6545269
10-02-2023,117,118.199997,116.5,117,112.397362,3526586
13-02-2023,116.800003,117.25,113.349998,114.050003,109.563416,5926426
14-02-2023,114.300003,114.300003,110.449997,113.550003,109.083084,11217322
15-02-2023,113.300003,116.25,113.099998,115.849998,111.292603,5573008
16-02-2023,116.5,117.099998,115.599998,116.449997,111.868996,4019208
17-02-2023,115.849998,116.550003,114.849998,115.599998,111.052437,3000421
20-02-2023,115.949997,116,113.25,113.550003,109.083084,7418836
21-02-2023,113.550003,115.400002,112.599998,113.949997,109.467346,4220675
22-02-2023,113,113.449997,111.5,112.050003,107.642097,5557791
23-02-2023,112,113.150002,111.25,112.800003,108.362595,3623161
24-02-2023,113.400002,113.800003,112.400002,113,108.554718,3476646
27-02-2023,112.900002,113,110.75,111.900002,107.497993,4467937
28-02-2023,112.199997,115,111.949997,114.300003,109.803581,9034566
01-03-2023,114.75,115.550003,113.849998,115.050003,110.524078,7363118
02-03-2023,115.25,116.099998,114.849998,115.75,111.196541,3413410
03-03-2023,116.5,118.900002,116.5,118.150002,113.502129,7553470
06-03-2023,118.75,122.25,118.25,121.449997,116.67231,9315446
08-03-2023,120.800003,125.199997,120.150002,124.650002,119.746422,12807032
09-03-2023,124.949997,128.449997,124.699997,126.050003,121.091354,13020658
10-03-2023,126.050003,126.050003,121.25,122.400002,117.584938,10105366
