Date,Open,High,Low,Close,SDBL,Volume
22-03-2023,135.800003,135.800003,132.149994,134.600006,134.600006,168711
23-03-2023,135.149994,136.899994,132.5,135.149994,135.149994,237977
24-03-2023,135.699997,140.600006,133.5,134.600006,134.600006,412816
27-03-2023,135.300003,140,131.149994,138.649994,138.649994,605523
28-03-2023,139.550003,142.699997,136.199997,137.800003,137.800003,521146
29-03-2023,138.149994,141.899994,136.899994,140.149994,140.149994,592282
31-03-2023,142,155.5,141.949997,153.899994,153.899994,2471018
03-04-2023,156,162.399994,152.600006,154.100006,154.100006,2577173
05-04-2023,153.824707,160.791855,152.033157,157.955231,157.955231,1541422
06-04-2023,161.936462,161.936462,156.263214,157.656647,157.656647,824337
10-04-2023,158.602188,158.75148,142.328918,147.056625,147.056625,1472341
11-04-2023,147.852875,155.71579,145.912018,154.372131,154.372131,1354697
12-04-2023,156.512039,157.557114,153.127991,155.466965,155.466965,687953
13-04-2023,156,156,149.100006,150.600006,150.600006,554461
17-04-2023,151.449997,156.649994,150.050003,155.699997,155.699997,495401
18-04-2023,155.600006,163.399994,153.25,159.399994,159.399994,815865
19-04-2023,163.399994,172.899994,161.5,171.199997,171.199997,3316582
20-04-2023,172.350006,175,168.399994,170.149994,170.149994,1363047
21-04-2023,169.449997,174.399994,165.300003,171.050003,171.050003,984557
24-04-2023,172.399994,174.399994,170.449997,173.149994,173.149994,471256
25-04-2023,173.199997,173.699997,163.800003,167.600006,167.600006,549586
26-04-2023,169.649994,174.300003,165,172.25,172.25,616764
27-04-2023,172.649994,176,169.300003,173.449997,173.449997,1152313
28-04-2023,174.550003,177.899994,163.800003,167.850006,167.850006,879822
02-05-2023,172.050003,176.800003,169.199997,171.300003,171.300003,1126187
03-05-2023,172,174.100006,169.600006,171.25,171.25,385884
04-05-2023,172.199997,174.699997,171.5,173.699997,173.699997,474296
05-05-2023,174.899994,183.600006,174.199997,180.75,180.75,1048845
08-05-2023,182.699997,189.899994,182.5,188.100006,188.100006,702501
09-05-2023,189.800003,195,180.800003,181.699997,181.699997,681229
10-05-2023,182.649994,183.649994,176,182.300003,182.300003,571225
11-05-2023,183.399994,185,180.149994,183,183,322143
12-05-2023,183.699997,183.899994,181,181.399994,181.399994,151340
15-05-2023,181.399994,186.5,176.149994,179.399994,179.399994,469142
